key,min_year,max_year
HD01_VD01,all,
HD01_VD02,m,
HD01_VD03,0,4
HD01_VD04,5,9
HD01_VD05,10,14
HD01_VD06,15,17
HD01_VD07,18,19
HD01_VD08,20,-1
HD01_VD09,21,-1
HD01_VD10,22,24
HD01_VD11,25,29
HD01_VD12,30,34
HD01_VD13,35,39
HD01_VD14,40,44
HD01_VD15,45,49
HD01_VD16,50,54
HD01_VD17,55,59
HD01_VD18,60,61
HD01_VD19,62,64
HD01_VD20,65,66
HD01_VD21,67,69
HD01_VD22,70,74
HD01_VD23,75,79
HD01_VD24,80,84
HD01_VD25,85,0
