key,value
B11001-HD01_VD01,All
B11001-HD01_VD02,All Family
B11001-HD01_VD03,Married-couple Family
B11001-HD01_VD04,All Other Family
B11001-HD01_VD05,Male Head of, no Wife
B11001-HD01_VD06,Female Head of, no Husband
B11001-HD01_VD07,All Nonfamily
B11001-HD01_VD08,Living alone
B11001-HD01_VD09,Not living alone
